year,name_first,name_last,ab,bb,so,obp,slg
2013,Salvador,Perez,496,21,63,.323,.433
2013,Eric,Hosmer,623,51,100,.353,.448
2013,Chris,Getz,209,20,24,.288,.273
2013,Alcides,Escobar,607,19,84,.259,.300
2013,Mike,Moustakas,472,32,83,.287,.364
2013,Alex,Gordon,633,52,141,.327,.422
2013,Lorenzo,Cain,399,33,90,.310,.348
2013,David,Lough,315,10,52,.311,.413
2013,Billy,Butler,582,79,102,.374,.412
2013,Jarrod,Dyson,213,21,45,.326,.366
2013,Jeff,Francoeur,183,8,49,.249,.322
2013,Emilio,Bonifacio,158,17,37,.352,.348
2013,Elliot,Johnson,162,8,49,.218,.241
2013,Miguel,Tejada,156,6,25,.317,.378
2013,George,Kottaras,100,24,42,.349,.370
2013,Justin,Maxwell,97,11,35,.351,.505
2013,Johnny,Giavotella,41,5,4,.333,.293
2013,Jamey,Carroll,36,4,4,.190,.194
2013,Brett,Hayes,18,0,3,.278,.611
2013,Pedro,Ciriaco,11,0,1,.182,.273
2013,Adam,Moore,10,1,2,.364,.400
2013,Irving,Falu,4,0,0,.250,.250
2013,Carlos,Pena,3,0,3,.000,.000
2013,Jeremy,Guthrie,4,0,2,.250,.250
2013,Luis,Mendoza,5,0,2,.400,.400
2013,Ervin,Santana,4,0,2,.250,.250
2013,Wade,Davis,3,0,2,.000,.000
2013,James,Shields,3,0,1,.333,.333
2013,Bruce,Chen,2,0,1,.500,.500
2013,Greg,Holland,0,0,0,0.0,0.0
2013,Louis,Coleman,0,0,0,0.0,0.0
2013,Everett,Teaford,0,0,0,0.0,0.0
2013,Danny,Duffy,0,0,0,0.0,0.0
2013,Yordano,Ventura,0,0,0,0.0,0.0
2013,Will,Smith,0,0,0,0.0,0.0
2013,Kelvin,Herrera,0,0,0,0.0,0.0
2013,Francisley,Bueno,0,0,0,0.0,0.0
2013,Donnie,Joseph,0,0,0,0.0,0.0
2013,J.C.,Gutierrez,0,0,0,0.0,0.0
